website,city,addr,metro,area,country,lon,name,phone,lat,email,desc
Отсутствует,Полтава,"г. Полтава, ул. В. Тырновская 29",Отсутствует,Отсутствует,Украина,50.46,"Апетка ""Юнсон""",(05322) 18-901,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Черновцы,"г. Черновцы, ул. Фастовская, д. 2",Отсутствует,Первомайский,Украина,50.46,Александр,(03722) 69-317,30.50,Отсутствует,
Отсутствует,Черкассы,"г. Черкассы, ул. Конева, д. 1",Отсутствует,Сосновский,Украина,50.46,"Айболит-1, аптека",(0472) 651-276,30.50,Отсутствует,Предоставляемые услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Киев,"г. Киев, ул. Январского Восстания, 3",Арсенальная,Печерский,Украина,50.46,Аптека,280-02-46,30.50,Отсутствует,
Отсутствует,Львов,"г. Львов, ул. Данила Апостола, д. 8",Отсутствует,Железнодорожный,Украина,50.46,Авицена,8 (0322) 673-595,30.50,Отсутствует,
Отсутствует,Чернигов,"г. Чернигов, ул. Киевская, 14",Отсутствует,Деснянский,Украина,50.46,Аптека,665-523,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Горького, 154",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Ваша Аптека""",(062) 304-7457,30.50,Отсутствует,
Отсутствует,Черновцы,"г. Черновцы, Интернет-представительство",Отсутствует,Первомайский,Украина,50.46,Адонис,(03722) 40-809,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, просп. Ильича, 90",Отсутствует,Калининский,Украина,50.46,"Аптека ""Гормональных и онкологических препаратов""",(062) 382-9338,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, пр-т Космонавтов, 23",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Вита-фарм""","(0432)44-66-45, (0432)44-69-45",30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Черкассы,"г. Черкассы, ул. Гоголя, д. 300",Отсутствует,Сосновский,Украина,50.46,"Аптека ""Гранд""",(0472) 453-014,30.50,Отсутствует,Предоставляемые услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
